id;user_id;bar_id;challenge_type_id;time_ms;video_url;status;created_at;video_start_ms;chug_start_ms;chug_end_ms;video_end_ms;visibility;video_status;user_lat;user_lng
2e5d5f70-7ec7-482f-a185-716957e9df59;80f7cd6d-8b38-491c-b07e-be44892d39c9;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;4292;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/80f7cd6d-8b38-491c-b07e-be44892d39c9/1772222347372.mp4;approved;2026-02-27 19:59:06.930805+00;0;0;4292;4292;public;uploaded;;
7284f969-f4cb-4ccf-85f6-6aaff480f764;9605ab0f-c6dd-4f11-9ca7-0b154a2ede70;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;4334;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/9605ab0f-c6dd-4f11-9ca7-0b154a2ede70/1772236811250.mp4;rejected;2026-02-28 00:00:11.096832+00;0;0;4334;4334;public;uploaded;;
7b94de00-d91a-41ec-b4c5-52f5b886300a;139190ce-4418-445f-97a7-74b2ab5f522b;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;4113;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/139190ce-4418-445f-97a7-74b2ab5f522b/1772296776710.mp4;approved;2026-02-28 16:39:36.291104+00;0;0;4113;4113;public;uploaded;;
040bb41f-e54b-47c2-88b7-276f38895085;ee1c72a0-e3e4-4d51-bbe9-69343259d8a1;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;4200;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/ee1c72a0-e3e4-4d51-bbe9-69343259d8a1/1772297199549.mp4;approved;2026-02-28 16:46:39.091184+00;0;0;4200;4200;public;uploaded;;
a2739e2c-c143-41f7-9d61-8b10c0a7d90e;139190ce-4418-445f-97a7-74b2ab5f522b;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;2954;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/139190ce-4418-445f-97a7-74b2ab5f522b/1772297554618.mp4;approved;2026-02-28 16:52:34.13539+00;0;0;2954;2954;public;uploaded;;
f7d9f4a5-dffa-4005-845a-216cfb765081;a052caa7-433b-4855-ab8c-d1b823e00433;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;4236;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/a052caa7-433b-4855-ab8c-d1b823e00433/1772298047996.mp4;approved;2026-02-28 17:00:47.519347+00;0;0;4236;4236;public;uploaded;;
b8e52c4c-9b7a-466a-a991-09082d5dfcf1;92a06822-546f-4ec8-9541-52913e0989d5;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;4918;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/92a06822-546f-4ec8-9541-52913e0989d5/1772298636461.mp4;approved;2026-02-28 17:10:35.909005+00;0;0;4918;4918;public;uploaded;;
e4a0b59b-10c6-4ffb-a016-3a063a2dd59a;80f7cd6d-8b38-491c-b07e-be44892d39c9;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;4417;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/80f7cd6d-8b38-491c-b07e-be44892d39c9/1772224956010.mp4;approved;2026-02-27 20:42:35.111269+00;0;0;4417;4417;public;uploaded;;
f1e4ea86-9670-44f5-9354-1ec0d1db9f77;2398d665-6ad8-4dcc-bacd-5e4a1105d663;7119538e-820f-44df-8d82-81c72a607449;4a5e7a4e-441a-40ee-9540-89c4979bd658;5861;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/2398d665-6ad8-4dcc-bacd-5e4a1105d663/1772222384819.mp4;approved;2026-02-27 19:59:44.421109+00;0;0;5861;5861;public;uploaded;;
3f8aa479-8bed-4134-966e-84ab88535de9;84b7e7fe-b9e8-4d81-848d-d4b53aba5782;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;4271;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/84b7e7fe-b9e8-4d81-848d-d4b53aba5782/1772223050229.mp4;approved;2026-02-27 20:10:49.291693+00;0;0;4271;4271;public;uploaded;;
8ac22804-64a5-4897-bed4-aded76a6200a;bbcc8e8a-d5ee-417e-b66b-b5de295dd309;e573326b-7b8c-4822-8429-d51141f487c7;4a5e7a4e-441a-40ee-9540-89c4979bd658;2843;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/bbcc8e8a-d5ee-417e-b66b-b5de295dd309/1772223175765.mp4;approved;2026-02-27 20:12:55.244128+00;0;0;2843;2843;public;uploaded;;
4005ecec-db8a-425d-ac95-81b376d85d54;9605ab0f-c6dd-4f11-9ca7-0b154a2ede70;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;3422;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/9605ab0f-c6dd-4f11-9ca7-0b154a2ede70/1772223279187.mp4;approved;2026-02-27 20:14:39.135519+00;0;0;3422;3422;public;uploaded;;
fe97b134-c6f0-460c-8ca3-3c4b7f533ff5;8d84455b-fc85-4781-a3a3-074be722fdb6;ddec68da-b858-4ddc-b564-9cb5f96883a1;4a5e7a4e-441a-40ee-9540-89c4979bd658;7582;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/8d84455b-fc85-4781-a3a3-074be722fdb6/1772237221100.mp4;approved;2026-02-28 00:07:00.346805+00;0;0;7582;7582;public;uploaded;;
cbbd6825-7373-43c4-bef2-a9be3fece06c;2398d665-6ad8-4dcc-bacd-5e4a1105d663;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;5865;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/2398d665-6ad8-4dcc-bacd-5e4a1105d663/1772298277583.mp4;approved;2026-02-28 17:04:36.868917+00;0;0;5865;5865;public;uploaded;;
